size,Std,Netherlands,South Africa,Germany,Indonisia,India,France,Israel
XS,0.01,0.06,0.09,0.09,0.19,0.19,0.1,0.1
S,0.1,0.16,0.13,0.21,0.27,0.2,0.24,0.24
M,0.23,0.21,0.24,0.21,0.24,0.22,0.22,0.2
L,0.31,0.26,0.25,0.21,0.2,0.24,0.2,0.23
XL,0.23,0.16,0.18,0.15,0.09,0.13,0.17,0.16
XXL,0.09,0.1,0.07,0.09,0.01,0.02,0.05,0.05
XXXL,0.03,0.05,0.04,0.04,0,0,0.02,0.02
