filename,kind,model,date,time_ref,geometry,cutoff,origin,nativefmt,start,stop,step,dispo_time,vapp,vconf,experiment,block,namespace,alternate
petaroute_jj1_[date]_00,gridpoint,petaroute,0,utc,eurw1s100,production,historic,grib,1,48,1,5,promethee,petaroute_jj1,INTG,forecast,vortex.cache.fr,petaroute_jj1_[date-1]_18
petaroute_jj1_[date]_06,gridpoint,petaroute,6,utc,eurw1s100,production,historic,grib,1,42,1,11,promethee,petaroute_jj1,INTG,forecast,vortex.cache.fr,petaroute_jj1_[date]_00
petaroute_jj1_[date]_12,gridpoint,petaroute,12,utc,eurw1s100,production,historic,grib,1,36,1,16,promethee,petaroute_jj1,INTG,forecast,vortex.cache.fr,petaroute_jj1_[date]_06
petaroute_jj1_[date]_18,gridpoint,petaroute,18,utc,eurw1s100,production,historic,grib,1,54,1,22,promethee,petaroute_jj1,INTG,forecast,vortex.cache.fr,petaroute_jj1_[date]_12
petaroute_j2j3_[date]_00,gridpoint,petaroute,0,utc,eurw1s40,production,historic,grib,51,96,3,5,promethee,petaroute_j2j3,INTG,forecast,vortex.cache.fr,petaroute_j2j3_[date-1]_18
petaroute_j2j3_[date]_06,gridpoint,petaroute,6,utc,eurw1s40,production,historic,grib,45,90,3,11,promethee,petaroute_j2j3,INTG,forecast,vortex.cache.fr,petaroute_j2j3_[date]_00
petaroute_j2j3_[date]_12,gridpoint,petaroute,12,utc,eurw1s40,production,historic,grib,39,84,3,16,promethee,petaroute_j2j3,INTG,forecast,vortex.cache.fr,petaroute_j2j3_[date]_06
petaroute_j2j3_[date]_18,gridpoint,petaroute,18,utc,eurw1s40,production,historic,grib,33,102,3,22,promethee,petaroute_j2j3,INTG,forecast,vortex.cache.fr,petaroute_j2j3_[date]_12
pprod_frjj1_[date]_maj0,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,0,48,1,0,promethee,france_jj1,OPER,MAJ0,vortex.cache.fr,pprod_frjj1_[date-1]_maj23
pprod_frjj1_[date]_maj1,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,1,48,1,1,promethee,france_jj1,OPER,MAJ1,vortex.cache.fr,pprod_frjj1_[date]_maj0
pprod_frjj1_[date]_maj2,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,2,48,1,2,promethee,france_jj1,OPER,MAJ2,vortex.cache.fr,pprod_frjj1_[date]_maj1
pprod_frjj1_[date]_maj3,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,3,48,1,3,promethee,france_jj1,OPER,MAJ3,vortex.cache.fr,pprod_frjj1_[date]_maj2
pprod_frjj1_[date]_maj4,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,4,48,1,4,promethee,france_jj1,OPER,MAJ4,vortex.cache.fr,pprod_frjj1_[date]_maj3
pprod_frjj1_[date]_maj5,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,5,48,1,5,promethee,france_jj1,OPER,MAJ5,vortex.cache.fr,pprod_frjj1_[date]_maj4
pprod_frjj1_[date]_maj6,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,6,48,1,6,promethee,france_jj1,OPER,MAJ6,vortex.cache.fr,pprod_frjj1_[date]_maj5
pprod_frjj1_[date]_maj7,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,7,48,1,7,promethee,france_jj1,OPER,MAJ7,vortex.cache.fr,pprod_frjj1_[date]_maj6
pprod_frjj1_[date]_maj8,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,8,48,1,8,promethee,france_jj1,OPER,MAJ8,vortex.cache.fr,pprod_frjj1_[date]_maj7
pprod_frjj1_[date]_maj9,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,9,48,1,9,promethee,france_jj1,OPER,MAJ9,vortex.cache.fr,pprod_frjj1_[date]_maj8
pprod_frjj1_[date]_maj10,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,10,48,1,10,promethee,france_jj1,OPER,MAJ10,vortex.cache.fr,pprod_frjj1_[date]_maj9
pprod_frjj1_[date]_maj11,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,11,48,1,11,promethee,france_jj1,OPER,MAJ11,vortex.cache.fr,pprod_frjj1_[date]_maj10
pprod_frjj1_[date]_maj12,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,12,48,1,12,promethee,france_jj1,OPER,MAJ12,vortex.cache.fr,pprod_frjj1_[date]_maj11
pprod_frjj1_[date]_maj13,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,13,48,1,13,promethee,france_jj1,OPER,MAJ13,vortex.cache.fr,pprod_frjj1_[date]_maj12
pprod_frjj1_[date]_maj14,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,14,48,1,14,promethee,france_jj1,OPER,MAJ14,vortex.cache.fr,pprod_frjj1_[date]_maj13
pprod_frjj1_[date]_maj15,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,15,48,1,15,promethee,france_jj1,OPER,MAJ15,vortex.cache.fr,pprod_frjj1_[date]_maj14
pprod_frjj1_[date]_maj16,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,16,48,1,16,promethee,france_jj1,OPER,MAJ16,vortex.cache.fr,pprod_frjj1_[date]_maj15
pprod_frjj1_[date]_maj17,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,17,48,1,17,promethee,france_jj1,OPER,MAJ17,vortex.cache.fr,pprod_frjj1_[date]_maj16
pprod_frjj1_[date]_maj18,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,18,48,1,18,promethee,france_jj1,OPER,MAJ18,vortex.cache.fr,pprod_frjj1_[date]_maj17
pprod_frjj1_[date]_maj19,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,19,48,1,19,promethee,france_jj1,OPER,MAJ19,vortex.cache.fr,pprod_frjj1_[date]_maj18
pprod_frjj1_[date]_maj20,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,20,48,1,20,promethee,france_jj1,OPER,MAJ20,vortex.cache.fr,pprod_frjj1_[date]_maj19
pprod_frjj1_[date]_maj21,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,21,72,1,21,promethee,france_jj1,OPER,MAJ21,vortex.cache.fr,pprod_frjj1_[date]_maj20
pprod_frjj1_[date]_maj22,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,22,72,1,22,promethee,france_jj1,OPER,MAJ22,vortex.cache.fr,pprod_frjj1_[date]_maj21
pprod_frjj1_[date]_maj23,gridpoint,alpha,0,utc_winter,eurw1s100,production,historic,grib,23,72,1,23,promethee,france_jj1,OPER,MAJ23,vortex.cache.fr,pprod_frjj1_[date]_maj22
pprod_frj2j3_[date]_maj0,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,0,promethee,france_j2j3,OPER,MAJ0,vortex.cache.fr,pprod_frj2j3_[date-1]_maj23
pprod_frj2j3_[date]_maj1,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,1,promethee,france_j2j3,OPER,MAJ1,vortex.cache.fr,pprod_frj2j3_[date]_maj0
pprod_frj2j3_[date]_maj2,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,2,promethee,france_j2j3,OPER,MAJ2,vortex.cache.fr,pprod_frj2j3_[date]_maj1
pprod_frj2j3_[date]_maj3,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,3,promethee,france_j2j3,OPER,MAJ3,vortex.cache.fr,pprod_frj2j3_[date]_maj2
pprod_frj2j3_[date]_maj4,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,4,promethee,france_j2j3,OPER,MAJ4,vortex.cache.fr,pprod_frj2j3_[date]_maj3
pprod_frj2j3_[date]_maj5,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,5,promethee,france_j2j3,OPER,MAJ5,vortex.cache.fr,pprod_frj2j3_[date]_maj4
pprod_frj2j3_[date]_maj6,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,6,promethee,france_j2j3,OPER,MAJ6,vortex.cache.fr,pprod_frj2j3_[date]_maj5
pprod_frj2j3_[date]_maj7,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,7,promethee,france_j2j3,OPER,MAJ7,vortex.cache.fr,pprod_frj2j3_[date]_maj6
pprod_frj2j3_[date]_maj8,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,8,promethee,france_j2j3,OPER,MAJ8,vortex.cache.fr,pprod_frj2j3_[date]_maj7
pprod_frj2j3_[date]_maj9,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,9,promethee,france_j2j3,OPER,MAJ9,vortex.cache.fr,pprod_frj2j3_[date]_maj8
pprod_frj2j3_[date]_maj10,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,10,promethee,france_j2j3,OPER,MAJ10,vortex.cache.fr,pprod_frj2j3_[date]_maj9
pprod_frj2j3_[date]_maj11,gridpoint,alpha,0,utc,eurw1s40,production,historic,grib,51,96,3,11,promethee,france_j2j3,OPER,MAJ11,vortex.cache.fr,pprod_frj2j3_[date]_maj10
